time,size,frequency
0,5,1
.5,1,1
.5,98,1
1.0,416,1
1.5,495,1
2.0,495,1
2.5,694,1
3.0,1,2
3.0,692,1
3.5,1,2
3.5,931,1
4.0,1,5
4.0,46,1
4.0,1002,1
4.5,1053,1
5.0,1,3
5.0,1050,1
5.5,1096,1
6.0,1096,1
6.5,1,1
6.5,1345,1
7.0,1,3
7.0,1343,1
7.5,1,1
7.5,1345,1
8.0,1,1
8.0,1345,1
8.5,1,2
8.5,1344,1
9.0,1,1
9.0,1572,1
9.5,1,1
9.5,1572,1
10.0,1,2
10.0,2619,1
10.5,2621,1
11.0,1,1
11.0,2620,1
11.5,1,2
11.5,2,2
11.5,2615,1
12.0,1,2
12.0,2620,1
12.5,1,2
12.5,2620,1
13.0,2622,1
13.5,2624,1
14.0,1,3
14.0,2621,1
14.5,1,4
14.5,2620,1
15.0,1,1
15.0,2891,1
15.5,1,1
15.5,2891,1
16.0,1,5
16.0,2,1
16.0,2883,1
16.5,1,5
16.5,2884,1
17.0,1,1
17.0,2888,1
17.5,1,5
17.5,2884,1
18.0,1,2
18.0,2887,1
18.5,2888,1
19.0,1,3
19.0,2885,1
19.5,1,2
19.5,2886,1
20.0,1,3
20.0,2885,1
20.5,1,4
20.5,2884,1
21.0,2888,1
21.5,1,3
21.5,2885,1
22.0,1,1
22.0,2886,1
22.5,1,4
22.5,2885,1
23.0,1,2
23.0,2887,1
23.5,1,2
23.5,2887,1
24.0,1,2
24.0,2887,1
24.5,1,3
24.5,2886,1
25.0,1,3
25.0,2887,1
25.5,1,4
25.5,2886,1
26.0,1,1
26.0,2889,1
26.5,1,1
26.5,2889,1
27.0,1,4
27.0,2886,1
27.5,1,2
27.5,2889,1
28.0,1,3
28.0,2888,1
28.5,1,2
28.5,2,1
28.5,2886,1
29.0,1,7
29.0,4419,1
29.5,1,1
29.5,4425,1
30.0,1,5
30.0,4422,1
30.5,1,2
30.5,4426,1
31.0,1,3
31.0,4425,1
31.5,1,10
31.5,4418,1
32.0,1,4
32.0,2,1
32.0,4422,1
32.5,1,1
32.5,4426,1
33.0,1,1
33.0,2,1
33.0,4423,1
33.5,1,3
33.5,4423,1
34.0,1,9
34.0,2,1
34.0,4988,1
34.5,1,5
34.5,2,2
34.5,4990,1
35.0,1,5
35.0,4994,1
35.5,1,2
35.5,2,2
35.5,4993,1
36.0,1,4
36.0,4995,1
36.5,1,5
36.5,4994,1
37.0,1,6
37.0,4994,1
37.5,1,2
37.5,4998,1
38.0,1,6
38.0,4994,1
38.5,1,7
38.5,4993,1
39.0,1,5
39.0,4995,1
39.5,1,7
39.5,4993,1
40.0,1,6
40.0,2,1
40.0,4992,1
40.5,1,8
40.5,5,1
40.5,4987,1
41.0,1,7
41.0,5,1
41.0,4988,1
41.5,1,7
41.5,4993,1
42.0,1,1
42.0,4999,1
42.5,1,2
42.5,4998,1
43.0,1,7
43.0,2,1
43.0,4991,1
43.5,1,3
43.5,4997,1
44.0,1,10
44.0,4990,1
44.5,1,3
44.5,2,1
44.5,4995,1
45.0,1,6
45.0,4994,1
45.5,1,3
45.5,4997,1
46.0,1,2
46.0,3,1
46.0,4994,1
46.5,1,6
46.5,4994,1
47.0,1,4
47.0,4996,1
47.5,1,6
47.5,2,1
47.5,4992,1
48.0,1,11
48.0,4989,1
48.5,1,5
48.5,2,1
48.5,4993,1
49.0,1,7
49.0,2,1
49.0,4991,1
49.5,1,6
49.5,4994,1
50.0,1,3
50.0,4997,1
50.5,1,7
50.5,3,1
50.5,4990,1
51.0,1,8
51.0,4992,1
51.5,1,3
51.5,4997,1
52.0,1,7
52.0,4993,1
52.5,1,5
52.5,2,1
52.5,4993,1
53.0,1,5
53.0,4995,1
53.5,1,6
53.5,2,2
53.5,4990,1
54.0,1,5
54.0,4995,1
54.5,1,6
54.5,4994,1
55.0,1,7
55.0,4993,1
55.5,1,4
55.5,4996,1
56.0,1,5
56.0,4995,1
56.5,1,5
56.5,4995,1
57.0,1,8
57.0,4992,1
57.5,1,6
57.5,4994,1
58.0,1,5
58.0,4995,1
58.5,1,3
58.5,4997,1
59.0,1,7
59.0,4993,1
59.5,1,1
59.5,4999,1
60.0,1,3
60.0,4997,1
60.5,1,5
60.5,4995,1
61.0,1,3
61.0,4997,1
61.5,1,4
61.5,2,1
61.5,4994,1
62.0,1,3
62.0,4997,1
62.5,1,3
62.5,2,1
62.5,4995,1
63.0,1,5
63.0,4995,1
63.5,1,4
63.5,2,1
63.5,4993,1
64.0,1,3
64.0,2,1
64.0,4995,1
64.5,1,9
64.5,4990,1
65.0,1,10
65.0,4989,1
65.5,1,2
65.5,4998,1
66.0,1,3
66.0,4997,1
66.5,1,4
66.5,4996,1
67.0,1,7
67.0,2,1
67.0,4991,1
67.5,1,3
67.5,2,1
67.5,4995,1
68.0,1,9
68.0,4991,1
68.5,1,2
68.5,4998,1
69.0,1,7
69.0,4993,1
69.5,1,5
69.5,4995,1
70.0,1,4
70.0,4996,1
70.5,1,6
70.5,4994,1
71.0,1,5
71.0,4995,1
71.5,1,7
71.5,2,1
71.5,4991,1
72.0,1,6
72.0,4993,1
72.5,1,4
72.5,4995,1
73.0,1,6
73.0,2,1
73.0,4992,1
73.5,1,5
73.5,4995,1
74.0,1,4
74.0,4996,1
74.5,1,4
74.5,2,1
74.5,4994,1
75.0,1,6
75.0,4994,1
75.5,1,5
75.5,4995,1
76.0,1,9
76.0,4991,1
76.5,1,7
76.5,4993,1
77.0,1,3
77.0,4997,1
77.5,1,6
77.5,4994,1
78.0,1,5
78.0,2,1
78.0,4993,1
78.5,1,6
78.5,4994,1
79.0,1,4
79.0,4996,1
79.5,1,6
79.5,4994,1
80.0,1,5
80.0,4995,1
80.5,1,2
80.5,2,1
80.5,4996,1
81.0,1,2
81.0,2,1
81.0,4996,1
81.5,1,3
81.5,4997,1
82.0,1,4
82.0,4996,1
82.5,1,5
82.5,4995,1
83.0,1,1
83.0,4999,1
83.5,1,1
83.5,2,1
83.5,4997,1
84.0,1,4
84.0,4996,1
84.5,1,5
84.5,4995,1
85.0,1,3
85.0,4997,1
85.5,1,3
85.5,4997,1
86.0,1,5
86.0,4995,1
86.5,1,7
86.5,2,1
86.5,4990,1
87.0,1,3
87.0,4996,1
87.5,1,8
87.5,3,1
87.5,4989,1
88.0,1,5
88.0,4995,1
88.5,1,3
88.5,4997,1
89.0,1,3
89.0,4997,1
89.5,1,4
89.5,4994,1
90.0,1,4
90.0,4994,1
90.5,1,7
90.5,4992,1
91.0,1,6
91.0,2,1
91.0,4991,1
91.5,1,4
91.5,4995,1
92.0,1,8
92.0,4991,1
92.5,1,3
92.5,2,1
92.5,4995,1
93.0,1,5
93.0,4995,1
93.5,1,2
93.5,3,1
93.5,4995,1
94.0,1,1
94.0,4998,1
94.5,1,8
94.5,4992,1
95.0,1,2
95.0,4998,1
95.5,1,3
95.5,4997,1
96.0,1,10
96.0,2,1
96.0,4988,1
96.5,1,4
96.5,2,1
96.5,4993,1
97.0,1,3
97.0,4996,1
97.5,1,3
97.5,4997,1
98.0,1,6
98.0,4994,1
98.5,1,5
98.5,4995,1
99.0,1,2
99.0,4998,1
99.5,1,5
99.5,4995,1
100.0,1,6
100.0,4994,1
